Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","13/04/2023 07:07 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=oEJg1s
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,"2022,2012"
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2012,Mozambique,MOZ,-,-,155,865,-
2012,Malta,MLT,-,-,5,0,-
2012,Mauritius,MUS,-,-,57,114,-
2012,Myanmar,MMR,-,-,415363,25622,-
2012,Namibia,NAM,-,-,1097,571,-
2012,Nepal,NPL,-,-,7601,2511,-
2012,Netherlands,NLD,-,-,69,28,-
2012,Niger,NER,-,-,824,354,-
2012,Nicaragua,NIC,-,-,1526,121,-
2012,Nigeria,NGA,-,-,18017,14159,-
2012,Niue,NIU,-,-,10,0,-
2012,Norway,NOR,-,-,5,5,-
2012,"New Zealand",NZL,-,-,19,6,-
2012,Oman,OMN,-,-,62,0,-
2012,Pakistan,PAK,-,-,49778,23704,-
2012,Panama,PAN,-,-,107,31,-
2012,Paraguay,PRY,-,-,101,23,-
2012,Peru,PER,-,-,5207,336,-
2012,Philippines,PHL,-,-,979,377,-
2012,"Papua New Guinea",PNG,-,-,172,83,-
2012,Poland,POL,-,-,1638,326,-
2012,Portugal,PRT,-,-,32,49,-
2012,Qatar,QAT,-,-,123,5,-
2012,Romania,ROU,-,-,2802,610,-
2012,"South Africa",ZAF,-,-,413,221,-
2012,"Russian Federation",RUS,-,-,110587,15254,-
2012,Rwanda,RWA,-,-,97357,10283,-
2012,"El Salvador",SLV,-,-,8173,1646,-
2012,"Saudi Arabia",SAU,-,-,811,141,-
2012,Senegal,SEN,-,-,18717,2648,-
2012,Seychelles,SYC,-,-,30,0,-
2012,Singapore,SGP,-,-,64,25,-
2012,"Sierra Leone",SLE,-,-,6191,2306,-
2012,"Solomon Islands",SLB,-,-,60,5,-
2012,Somalia,SOM,-,-,1136709,33680,-
2012,Spain,ESP,-,-,55,81,-
2012,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,158903,16644,-
2012,"Viet Nam",VNM,-,-,336936,1394,-
2012,"South Sudan",SSD,-,-,87007,18676,-
2012,Stateless,XXA,-,-,19668,3212,-
2012,"Saint Kitts and Nevis",KNA,-,-,10,20,-
2012,"Sao Tome and Principe",STP,-,-,31,0,-
2012,Sudan,SDN,-,-,568934,21521,-
2012,Suriname,SUR,-,-,14,18,-
2012,Slovakia,SVK,-,-,231,624,-
2012,Slovenia,SVN,-,-,32,12,-
