Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","06/04/2023 14:28 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=15Eqwr
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Afghanistan,AFG,Tajikistan,TJK,9624,1638,-
2022,Afghanistan,AFG,Turkmenistan,TKM,9,0,-
2022,Afghanistan,AFG,Türkiye,TUR,8384,135445,-
2022,Afghanistan,AFG,"United Arab Emirates",ARE,10,25,-
2022,Afghanistan,AFG,Uganda,UGA,0,19,-
2022,Afghanistan,AFG,Ukraine,UKR,893,483,-
2022,Afghanistan,AFG,Uruguay,URY,5,6,-
2022,Afghanistan,AFG,"United States of America",USA,2478,3047,-
2022,Afghanistan,AFG,Uzbekistan,UZB,13031,0,-
2022,Afghanistan,AFG,"Venezuela (Bolivarian Republic of)",VEN,10,0,-
2022,Anguilla,AIA,Peru,PER,0,5,-
2022,Albania,ALB,Argentina,ARG,18,0,-
2022,Albania,ALB,Australia,AUS,37,97,-
2022,Albania,ALB,Austria,AUT,49,19,-
2022,Albania,ALB,Belgium,BEL,693,154,-
2022,Albania,ALB,Brazil,BRA,0,7,-
2022,Albania,ALB,Bulgaria,BGR,0,6,-
2022,Albania,ALB,Canada,CAN,202,224,-
2022,Albania,ALB,Cyprus,CYP,0,5,-
2022,Albania,ALB,Ecuador,ECU,6,0,-
2022,Albania,ALB,Finland,FIN,5,15,-
2022,Albania,ALB,France,FRA,10236,2003,-
2022,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,4485,15893,-
2022,Albania,ALB,Germany,DEU,1309,1531,-
2022,Albania,ALB,Greece,GRC,184,803,-
2022,Albania,ALB,Iceland,ISL,5,0,-
2022,Albania,ALB,Ireland,IRL,232,255,-
2022,Albania,ALB,Israel,ISR,0,17,-
2022,Albania,ALB,Italy,ITA,1016,435,-
2022,Albania,ALB,Luxembourg,LUX,28,10,-
2022,Albania,ALB,Mexico,MEX,8,0,-
2022,Albania,ALB,Malta,MLT,0,5,-
2022,Albania,ALB,Netherlands,NLD,20,12,-
2022,Albania,ALB,Norway,NOR,18,5,-
2022,Albania,ALB,Portugal,PRT,0,6,-
2022,Albania,ALB,Spain,ESP,12,100,-
2022,Albania,ALB,Slovenia,SVN,0,5,-
2022,Albania,ALB,Sweden,SWE,260,138,-
2022,Albania,ALB,Switzerland,CHE,89,60,-
2022,Albania,ALB,"United States of America",USA,1351,2714,-
2022,Algeria,DZA,Argentina,ARG,30,23,-
2022,Algeria,DZA,Australia,AUS,8,22,-
2022,Algeria,DZA,Austria,AUT,26,190,-
2022,Algeria,DZA,Belgium,BEL,98,172,-
2022,Algeria,DZA,Brazil,BRA,8,34,-
2022,Algeria,DZA,Bulgaria,BGR,5,82,-
2022,Algeria,DZA,Canada,CAN,664,572,-
2022,Algeria,DZA,Cyprus,CYP,8,5,-
2022,Algeria,DZA,Czechia,CZE,0,6,-
2022,Algeria,DZA,Denmark,DNK,0,5,-
2022,Algeria,DZA,Finland,FIN,6,11,-
2022,Algeria,DZA,France,FRA,3278,407,-
2022,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,306,612,-
2022,Algeria,DZA,Germany,DEU,986,1102,-
2022,Algeria,DZA,Greece,GRC,137,75,-
2022,Algeria,DZA,Croatia,HRV,0,5,-
2022,Algeria,DZA,Hungary,HUN,14,0,-
2022,Algeria,DZA,Ireland,IRL,77,923,-
2022,Algeria,DZA,Italy,ITA,50,118,-
2022,Algeria,DZA,Jordan,JOR,0,5,-
2022,Algeria,DZA,"Rep. of Korea",KOR,6,73,-
2022,Algeria,DZA,Lebanon,LBN,5,6,-
2022,Algeria,DZA,Luxembourg,LUX,30,15,-
2022,Algeria,DZA,"Rep. of Moldova",MDA,0,25,-
2022,Algeria,DZA,Mexico,MEX,5,5,-
2022,Algeria,DZA,Malaysia,MYS,0,15,-
2022,Algeria,DZA,Morocco,MAR,10,13,-
2022,Algeria,DZA,Malta,MLT,0,20,-
2022,Algeria,DZA,Netherlands,NLD,390,609,-
2022,Algeria,DZA,Norway,NOR,6,0,-
2022,Algeria,DZA,Pakistan,PAK,22,0,-
2022,Algeria,DZA,Poland,POL,31,5,-
2022,Algeria,DZA,Portugal,PRT,437,21,-
2022,Algeria,DZA,"South Africa",ZAF,5,181,-
2022,Algeria,DZA,Spain,ESP,159,1095,-
2022,Algeria,DZA,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,5,-
2022,Algeria,DZA,Slovakia,SVK,5,0,-
2022,Algeria,DZA,Slovenia,SVN,0,7,-
2022,Algeria,DZA,Sweden,SWE,64,69,-
2022,Algeria,DZA,Switzerland,CHE,99,159,-
2022,Algeria,DZA,"Syrian Arab Rep.",SYR,5,0,-
2022,Algeria,DZA,Tunisia,TUN,11,10,-
2022,Algeria,DZA,Ukraine,UKR,0,8,-
2022,Algeria,DZA,"United States of America",USA,138,537,-
2022,Andorra,AND,Brazil,BRA,0,6,-
2022,Andorra,AND,Sudan,SDN,5,0,-
2022,Angola,AGO,Argentina,ARG,14,15,-
2022,Angola,AGO,Austria,AUT,34,10,-
2022,Angola,AGO,Belgium,BEL,98,164,-
2022,Angola,AGO,Brazil,BRA,1173,6444,-
2022,Angola,AGO,Canada,CAN,467,971,-
2022,Angola,AGO,"Central African Rep.",CAF,12,0,-
2022,Angola,AGO,Chile,CHL,0,5,-
2022,Angola,AGO,Cameroon,CMR,5,0,-
2022,Angola,AGO,Congo,COG,13,45,-
2022,Angola,AGO,"Dem. Rep. of the Congo",COD,417,25,-
2022,Angola,AGO,"Costa Rica",CRI,0,63,-
2022,Angola,AGO,Cyprus,CYP,0,26,-
2022,Angola,AGO,Ecuador,ECU,5,0,-
2022,Angola,AGO,Finland,FIN,52,11,-
2022,Angola,AGO,France,FRA,6808,484,-
2022,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,138,165,-
2022,Angola,AGO,Germany,DEU,846,400,-
2022,Angola,AGO,Greece,GRC,17,51,-
2022,Angola,AGO,Hungary,HUN,5,0,-
2022,Angola,AGO,Indonesia,IDN,7,0,-
2022,Angola,AGO,Ireland,IRL,52,35,-
2022,Angola,AGO,Italy,ITA,5,11,-
2022,Angola,AGO,"Rep. of Korea",KOR,9,18,-
2022,Angola,AGO,Luxembourg,LUX,9,11,-
2022,Angola,AGO,Mexico,MEX,13,1054,-
2022,Angola,AGO,Morocco,MAR,0,6,-
2022,Angola,AGO,Mozambique,MOZ,5,0,-
2022,Angola,AGO,Namibia,NAM,5,0,-
