objectid,iso3,gis_name,ref_conv_1951,ref_conv_1951_date,ref_prot_1967,ref_prot_1967_date,ref_conv_prot_note,sta_conv_1954,sta_conv_1954_date,sta_conv_1961,sta_conv_1961_date,sta_conv_prot_note,unhcr_region,region,subregion,code_op,excom,comments,globalid,region_pcode,m49code,short_name_en,short_name_sp,short_name_ar,short_name_fr,short_name_ru,short_name_ch,m49_region,m49_region_group,m49_sub_region,hcr3,color_code,territory,entity_last_update
25,GEO,Georgia,Active,934156800000,Active,934156800000,,Active,1324598400000,Active,1404172800000,,Regional Bureau for Europe,Europe,Eastern Europe,GEO RO ABC,Inactive,NA,{DAF11761-A66C-4130-B445-61D38265EB2D},RBE,268,Georgia,Georgia,جورجيا,Géorgie,Грузия,格鲁吉亚,Asia,,Western Asia,GEO,GEO,NA,1666109157000
1,MCO,Monaco,Active,-493084800000,Active,1275782400000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",FRA ABC,Inactive,NA,{6D92EEFD-F625-4BC6-9D56-2FD2B41F97AA},RBE,492,Monaco,Mónaco,موناكو,Monaco,Монако,摩纳哥,Europe,,Western Europe,MCO,MCO,NA,1666109157000
186,TUR,Turkey,Active,-244857600000,Active,-44841600000,,Active,1427328000000,Inactive,-2209161600000,,Regional Bureau for Europe,Europe,Eastern Europe,TUR ABC,Inactive,NA,{89FCCAE5-E3FA-435A-95C5-D713B2BEC56A},RBE,792,Türkiye,Türkiye,تركيا,Türkiye,Турция,土耳其,Asia,,Western Asia,TUR,TUR,NA,1666109157000
96,TJK,Tajikistan,Active,755222400000,Active,755222400000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,Central Asia,TJK ABC,Inactive,NA,{848DE7B7-3F99-4A9A-A9D6-A8EFF4B049AA},RBAP,762,Tajikistan,Tayikistán,طاجيكستان,Tadjikistan,Таджикистан,塔吉克斯坦,Asia,,Central Asia,TJK,TJK,NA,1666109157000
53,LBY,Libya,Inactive,-2209161600000,Inactive,-2209161600000,,Active,611280000000,Active,611280000000,,Regional Bureau for the Middle East and North Africa,Middle East and North Africa,North Africa,LBY ABC,Inactive,NA,{4304CC9D-C3CE-427E-A85B-FBFA5BCC6DE0},RBMENA,434,Libya,Libia,ليبيا,Libye,Ливия,利比亚,Africa,,Northern Africa,LBY,LBY,NA,1666109157000
220,UGA,Uganda,Active,212630400000,Active,212630400000,,Active,-148780800000,Inactive,-2209161600000,,"Regional Bureau for the East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,UGA ABC,Inactive,NA,{81DA9ADE-8E50-4139-96ED-E269AF5BCA43},RBEHAGL,800,Uganda,Uganda,أوغندا,Ouganda,Уганда,乌干达,Africa,Sub-Saharan Africa,Eastern Africa,UGA,UGA,NA,1666109157000
223,ALB,Albania,Active,714096000000,Active,714096000000,,Active,1056326400000,Active,1057708800000,,Regional Bureau for Europe,Europe,South-Eastern Europe,BIH RO ABC,Inactive,NA,{1DFDBE6E-515D-4AC1-8AD0-9E47373289B1},RBE,8,Albania,Albania,ألبانيا,Albanie,Албания,阿尔巴尼亚,Europe,,Southern Europe,ALB,ALB,NA,1666109157000
48,CYP,Cyprus,Active,-209260800000,Active,-46742400000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",ITA RO ABC,Inactive,NA,{3A4D332A-DA93-443C-8912-8EC137EEE505},RBE,196,Cyprus,Chipre,قبرص,Chypre,Кипр,塞浦路斯,Asia,,Western Asia,CYP,CYP,NA,1666109157000
213,GIN,Guinea,Active,-126576000000,Active,-51408000000,,Active,-245635200000,Active,1405555200000,,Regional Bureau for West and Central Africa,Africa,West Africa,SEN RO ABC,Inactive,NA,{AB918AB2-BAF4-4DA2-9FEC-386AF3A5C9E9},RBWCA,324,Guinea,Guinea,غينيا,Guinée,Гвинея,几内亚,Africa,Sub-Saharan Africa,Western Africa,GUI,GIN,NA,1666109157000
84,UKR,Ukraine,Active,1023667200000,Active,1017878400000,,Active,1364169600000,Active,1364169600000,,Regional Bureau for Europe,Europe,Eastern Europe,UKR ABC,Inactive,NA,{05EF7AD7-58C1-4681-8017-5AF0268C04FB},RBE,804,Ukraine,Ucrania,أوكرانيا,Ukraine,Украина,乌克兰,Europe,,Eastern Europe,UKR,UKR,NA,1666109157000
